channel,time,status,program,pitch,velo
1,10705,Note_off_c,0,62,0
1,10722,Note_on_c,0,65,40
1,10822,Note_off_c,0,65,0
1,10850,Note_on_c,0,69,80
1,10945,Note_off_c,0,69,0
1,10967,Note_on_c,0,72,40
1,11062,Note_off_c,0,72,0
1,11090,Note_on_c,0,76,80
1,11185,Note_off_c,0,76,0
1,11207,Note_on_c,0,96,40
1,11302,Note_off_c,0,96,0
1,11330,Note_on_c,0,100,80
1,11424,Note_off_c,0,100,0
1,11447,Note_on_c,0,103,40
1,11541,Note_off_c,0,103,0
1,11569,Note_on_c,0,83,80
1,11669,Note_off_c,0,83,0
1,11686,Note_on_c,0,48,40
1,11781,Note_off_c,0,48,0
1,11809,Note_on_c,0,51,80
1,11909,Note_off_c,0,51,0
1,11926,Note_on_c,0,55,40
1,12021,Note_off_c,0,55,0
1,12049,Note_on_c,0,48,80
1,12149,Note_off_c,0,48,0
1,12166,Note_on_c,0,58,40
1,12260,Note_off_c,0,58,0
1,12294,Note_on_c,0,62,80
1,12388,Note_off_c,0,62,0
1,12405,Note_on_c,0,65,40
1,12500,Note_off_c,0,65,0
1,12533,Note_on_c,0,69,80
1,12628,Note_off_c,0,69,0
1,12645,Note_on_c,0,55,40
1,12739,Note_off_c,0,55,0
1,12773,Note_on_c,0,58,80
1,12868,Note_off_c,0,58,0
1,12884,Note_on_c,0,62,40
1,12979,Note_off_c,0,62,0
1,13013,Note_on_c,0,82,80
1,13107,Note_off_c,0,82,0
1,13124,Note_on_c,0,86,40
1,13219,Note_off_c,0,86,0
1,13252,Note_on_c,0,89,80
1,13347,Note_off_c,0,89,0
1,13364,Note_on_c,0,93,40
1,13458,Note_off_c,0,93,0
1,13492,Note_on_c,0,72,80
1,13587,Note_off_c,0,72,0
1,13603,Note_on_c,0,51,40
1,13704,Note_off_c,0,51,0
1,13731,Note_on_c,0,55,80
1,13826,Note_off_c,0,55,0
1,13843,Note_on_c,0,58,40
1,13943,Note_off_c,0,58,0
1,13971,Note_on_c,0,62,80
1,14066,Note_off_c,0,62,0
1,14083,Note_on_c,0,48,40
1,14183,Note_off_c,0,48,0
1,14211,Note_on_c,0,51,80
1,14306,Note_off_c,0,51,0
1,14322,Note_on_c,0,55,40
1,14423,Note_off_c,0,55,0
1,14450,Note_on_c,0,55,80
1,14545,Note_off_c,0,55,0
1,14567,Note_on_c,0,58,40
1,14662,Note_off_c,0,58,0
1,14690,Note_on_c,0,62,80
1,14785,Note_off_c,0,62,0
1,14807,Note_on_c,0,65,40
1,14902,Note_off_c,0,65,0
1,14930,Note_on_c,0,69,80
1,15024,Note_off_c,0,69,0
1,15047,Note_on_c,0,72,40
1,15141,Note_off_c,0,72,0
1,15169,Note_on_c,0,75,80
1,15269,Note_off_c,0,75,0
1,15286,Note_on_c,0,79,40
1,15381,Note_off_c,0,79,0
1,15409,Note_on_c,0,82,80
1,15509,Note_off_c,0,82,0
1,15526,Note_on_c,0,86,40
1,15621,Note_off_c,0,86,0
1,15648,Note_on_c,0,89,80
1,15749,Note_off_c,0,89,0
1,15765,Note_on_c,0,93,40
1,15860,Note_off_c,0,93,0
1,15894,Note_on_c,0,48,80
1,15988,Note_off_c,0,48,0
1,16005,Note_on_c,0,51,40
1,16100,Note_off_c,0,51,0
1,16133,Note_on_c,0,55,80
1,16228,Note_off_c,0,55,0
1,16245,Note_on_c,0,65,40
1,16339,Note_off_c,0,65,0
1,16373,Note_on_c,0,69,80
1,16468,Note_off_c,0,69,0
1,16484,Note_on_c,0,72,40
1,16579,Note_off_c,0,72,0
1,16612,Note_on_c,0,76,80
1,16707,Note_off_c,0,76,0
1,16724,Note_on_c,0,79,40
1,16819,Note_off_c,0,79,0
1,16852,Note_on_c,0,100,80
1,16947,Note_off_c,0,100,0
1,16964,Note_on_c,0,103,40
1,17058,Note_off_c,0,103,0
1,17092,Note_on_c,0,107,80
1,17187,Note_off_c,0,107,0
1,17203,Note_on_c,0,72,40
1,17303,Note_off_c,0,72,0
1,17331,Note_on_c,0,75,80
1,17426,Note_off_c,0,75,0
1,17443,Note_on_c,0,79,40
1,17543,Note_off_c,0,79,0
1,17571,Note_on_c,0,72,80
1,17666,Note_off_c,0,72,0
1,17682,Note_on_c,0,51,40
1,17783,Note_off_c,0,51,0
1,17811,Note_on_c,0,55,80
1,17905,Note_off_c,0,55,0
1,17922,Note_on_c,0,58,40
1,18022,Note_off_c,0,58,0
1,18050,Note_on_c,0,62,80
1,18145,Note_off_c,0,62,0
1,18167,Note_on_c,0,48,40
1,18262,Note_off_c,0,48,0
1,18290,Note_on_c,0,58,80
1,18385,Note_off_c,0,58,0
1,18407,Note_on_c,0,62,40
1,18502,Note_off_c,0,62,0
1,18529,Note_on_c,0,65,80
1,18624,Note_off_c,0,65,0
1,18646,Note_on_c,0,69,40
1,18741,Note_off_c,0,69,0
1,18769,Note_on_c,0,72,80
1,18869,Note_off_c,0,72,0
1,18886,Note_on_c,0,76,40
1,18981,Note_off_c,0,76,0
1,19009,Note_on_c,0,55,80
1,19109,Note_off_c,0,55,0
1,19126,Note_on_c,0,75,40
1,19220,Note_off_c,0,75,0
1,19248,Note_on_c,0,79,80
1,19349,Note_off_c,0,79,0
1,19365,Note_on_c,0,82,40
1,19460,Note_off_c,0,82,0
1,19488,Note_on_c,0,86,80
1,19588,Note_off_c,0,86,0
1,19605,Note_on_c,0,72,40
1,19700,Note_off_c,0,72,0
1,19733,Note_on_c,0,51,80
1,19828,Note_off_c,0,51,0
1,19845,Note_on_c,0,55,40
1,19939,Note_off_c,0,55,0
1,19973,Note_on_c,0,48,80
1,20068,Note_off_c,0,48,0
1,20084,Note_on_c,0,51,40
1,20179,Note_off_c,0,51,0
1,20212,Note_on_c,0,55,80
1,20307,Note_off_c,0,55,0
1,20324,Note_on_c,0,58,40
1,20419,Note_off_c,0,58,0
1,20452,Note_on_c,0,62,80
1,20547,Note_off_c,0,62,0
1,20564,Note_on_c,0,55,40
1,20658,Note_off_c,0,55,0
1,20692,Note_on_c,0,58,80
1,20786,Note_off_c,0,58,0
1,20803,Note_on_c,0,62,40
1,20903,Note_off_c,0,62,0
1,20931,Note_on_c,0,82,80
1,21026,Note_off_c,0,82,0
1,21043,Note_on_c,0,86,40
1,21143,Note_off_c,0,86,0
1,21171,Note_on_c,0,89,80
1,21266,Note_off_c,0,89,0
1,21282,Note_on_c,0,93,40
1,21383,Note_off_c,0,93,0
1,21411,Note_on_c,0,72,80
1,21505,Note_off_c,0,72,0
1,21522,Note_on_c,0,51,40
1,21622,Note_off_c,0,51,0
1,21650,Note_on_c,0,55,80
1,21745,Note_off_c,0,55,0
1,21767,Note_on_c,0,58,40
1,21862,Note_off_c,0,58,0
1,21890,Note_on_c,0,62,80
1,21985,Note_off_c,0,62,0
1,22007,Note_on_c,0,65,40
1,22102,Note_off_c,0,65,0
1,22129,Note_on_c,0,69,80
1,22224,Note_off_c,0,69,0
1,22246,Note_on_c,0,72,40
1,22341,Note_off_c,0,72,0
1,22369,Note_on_c,0,83,80
1,22469,Note_off_c,0,83,0
1,22486,Note_on_c,0,86,40
1,22581,Note_off_c,0,86,0
1,22609,Note_on_c,0,90,80
1,22709,Note_off_c,0,90,0
1,22726,Note_on_c,0,55,40
1,22820,Note_off_c,0,55,0
1,22848,Note_on_c,0,58,80
1,22949,Note_off_c,0,58,0
1,22965,Note_on_c,0,79,40
1,23060,Note_off_c,0,79,0
1,23088,Note_on_c,0,72,80
1,23188,Note_off_c,0,72,0
1,23205,Note_on_c,0,75,40
1,23300,Note_off_c,0,75,0
1,23333,Note_on_c,0,79,80
1,23428,Note_off_c,0,79,0
1,23445,Note_on_c,0,82,40
1,23539,Note_off_c,0,82,0
1,23573,Note_on_c,0,86,80
1,23667,Note_off_c,0,86,0
1,23684,Note_on_c,0,72,40
1,23779,Note_off_c,0,72,0
1,23812,Note_on_c,0,51,80
1,23907,Note_off_c,0,51,0
1,23924,Note_on_c,0,55,40
1,24019,Note_off_c,0,55,0
1,24052,Note_on_c,0,58,80
1,24147,Note_off_c,0,58,0
1,24163,Note_on_c,0,62,40
1,24258,Note_off_c,0,62,0
1,24292,Note_on_c,0,65,80
1,24386,Note_off_c,0,65,0
1,24403,Note_on_c,0,76,40
1,24503,Note_off_c,0,76,0
1,24531,Note_on_c,0,55,80
1,24626,Note_off_c,0,55,0
1,24643,Note_on_c,0,58,40
1,24743,Note_off_c,0,58,0
1,24771,Note_on_c,0,62,80
1,24866,Note_off_c,0,62,0
1,24882,Note_on_c,0,65,40
1,24983,Note_off_c,0,65,0
1,25011,Note_on_c,0,69,80
1,25105,Note_off_c,0,69,0
1,25122,Note_on_c,0,55,40
1,25222,Note_off_c,0,55,0
1,25250,Note_on_c,0,75,80
1,25345,Note_off_c,0,75,0
1,25367,Note_on_c,0,79,40
1,25462,Note_off_c,0,79,0
1,25490,Note_on_c,0,72,80
1,25584,Note_off_c,0,72,0
1,25607,Note_on_c,0,51,40
1,25701,Note_off_c,0,51,0
1,25729,Note_on_c,0,55,80
1,25824,Note_off_c,0,55,0
1,25846,Note_on_c,0,58,40
1,25941,Note_off_c,0,58,0
1,25969,Note_on_c,0,62,80
1,26069,Note_off_c,0,62,0
1,26086,Note_on_c,0,48,40
1,26181,Note_off_c,0,48,0
1,26209,Note_on_c,0,58,80
1,26309,Note_off_c,0,58,0
1,26326,Note_on_c,0,62,40
1,26420,Note_off_c,0,62,0
1,26448,Note_on_c,0,65,80
1,26549,Note_off_c,0,65,0
1,26565,Note_on_c,0,69,40
1,26660,Note_off_c,0,69,0
1,26688,Note_on_c,0,72,80
1,26788,Note_off_c,0,72,0
1,26805,Note_on_c,0,76,40
1,26900,Note_off_c,0,76,0
1,26933,Note_on_c,0,55,80
1,27028,Note_off_c,0,55,0
1,27045,Note_on_c,0,75,40
1,27139,Note_off_c,0,75,0
1,27173,Note_on_c,0,79,80
1,27267,Note_off_c,0,79,0
1,27284,Note_on_c,0,82,40
1,27379,Note_off_c,0,82,0
1,27412,Note_on_c,0,86,80
1,27507,Note_off_c,0,86,0
1,27524,Note_on_c,0,89,40
1,27618,Note_off_c,0,89,0
1,27652,Note_on_c,0,69,80
1,27747,Note_off_c,0,69,0
1,27763,Note_on_c,0,72,40
1,27858,Note_off_c,0,72,0
1,27892,Note_on_c,0,76,80
1,27986,Note_off_c,0,76,0
1,28003,Note_on_c,0,79,40
1,28103,Note_off_c,0,79,0
1,28131,Note_on_c,0,83,80
1,28226,Note_off_c,0,83,0
1,28243,Note_on_c,0,48,40
1,28343,Note_off_c,0,48,0
1,28371,Note_on_c,0,51,80
1,28465,Note_off_c,0,51,0
1,28482,Note_on_c,0,62,40
1,28583,Note_off_c,0,62,0
1,28610,Note_on_c,0,55,80
1,28705,Note_off_c,0,55,0
1,28722,Note_on_c,0,58,40
1,28822,Note_off_c,0,58,0
1,28850,Note_on_c,0,62,80
1,28945,Note_off_c,0,62,0
1,28967,Note_on_c,0,65,40
1,29062,Note_off_c,0,65,0
1,29090,Note_on_c,0,86,80
1,29184,Note_off_c,0,86,0
1,29207,Note_on_c,0,72,40
1,29301,Note_off_c,0,72,0
1,29329,Note_on_c,0,75,80
1,29424,Note_off_c,0,75,0
1,29446,Note_on_c,0,79,40
1,29541,Note_off_c,0,79,0
1,29569,Note_on_c,0,82,80
1,29669,Note_off_c,0,82,0
1,29686,Note_on_c,0,86,40
1,29781,Note_off_c,0,86,0
1,29809,Note_on_c,0,89,80
1,29909,Note_off_c,0,89,0
1,29926,Note_on_c,0,69,40
1,30020,Note_off_c,0,69,0
1,30048,Note_on_c,0,48,80
1,30148,Note_off_c,0,48,0
1,30165,Note_on_c,0,51,40
1,30260,Note_off_c,0,51,0
1,30288,Note_on_c,0,62,80
1,30388,Note_off_c,0,62,0
1,30405,Note_on_c,0,65,40
1,30500,Note_off_c,0,65,0
1,30533,Note_on_c,0,69,80
1,30628,Note_off_c,0,69,0
1,30644,Note_on_c,0,55,40
1,30739,Note_off_c,0,55,0
1,30772,Note_on_c,0,58,80
1,30867,Note_off_c,0,58,0
1,30884,Note_on_c,0,79,40
1,30979,Note_off_c,0,79,0
1,31012,Note_on_c,0,72,80
1,31107,Note_off_c,0,72,0
1,31124,Note_on_c,0,75,40
1,31218,Note_off_c,0,75,0
1,31252,Note_on_c,0,79,80
1,31346,Note_off_c,0,79,0
1,31363,Note_on_c,0,82,40
1,31458,Note_off_c,0,82,0
1,31491,Note_on_c,0,86,80
1,31586,Note_off_c,0,86,0
1,31603,Note_on_c,0,72,40
1,31703,Note_off_c,0,72,0
1,31731,Note_on_c,0,51,80
1,31826,Note_off_c,0,51,0
1,31843,Note_on_c,0,55,40
1,31943,Note_off_c,0,55,0
1,31971,Note_on_c,0,58,80
1,32066,Note_off_c,0,58,0
1,32082,Note_on_c,0,62,40
1,32182,Note_off_c,0,62,0
1,32210,Note_on_c,0,65,80
1,32305,Note_off_c,0,65,0
1,32322,Note_on_c,0,76,40
1,32422,Note_off_c,0,76,0
1,32450,Note_on_c,0,55,80
1,32545,Note_off_c,0,55,0
1,32567,Note_on_c,0,58,40
1,32662,Note_off_c,0,58,0
1,32690,Note_on_c,0,62,80
1,32784,Note_off_c,0,62,0
1,32807,Note_on_c,0,65,40
1,32901,Note_off_c,0,65,0
1,32929,Note_on_c,0,69,80
1,33024,Note_off_c,0,69,0
1,33046,Note_on_c,0,72,40
1,33141,Note_off_c,0,72,0
1,33169,Note_on_c,0,93,80
1,33269,Note_off_c,0,93,0
1,33286,Note_on_c,0,96,40
1,33381,Note_off_c,0,96,0
1,33408,Note_on_c,0,100,80
1,33509,Note_off_c,0,100,0
1,33525,Note_on_c,0,103,40
1,33620,Note_off_c,0,103,0
1,33648,Note_on_c,0,107,80
1,33748,Note_off_c,0,107,0
1,33765,Note_on_c,0,48,40
1,33860,Note_off_c,0,48,0
1,33888,Note_on_c,0,51,80
1,33988,Note_off_c,0,51,0
1,34005,Note_on_c,0,55,40
1,34099,Note_off_c,0,55,0
1,34133,Note_on_c,0,48,80
1,34228,Note_off_c,0,48,0
1,34244,Note_on_c,0,51,40
1,34339,Note_off_c,0,51,0
1,34373,Note_on_c,0,55,80
1,34467,Note_off_c,0,55,0
1,34484,Note_on_c,0,58,40
1,34579,Note_off_c,0,58,0
1,34612,Note_on_c,0,69,80
1,34707,Note_off_c,0,69,0
1,34724,Note_on_c,0,55,40
1,34818,Note_off_c,0,55,0
1,34852,Note_on_c,0,58,80
1,34946,Note_off_c,0,58,0
1,34963,Note_on_c,0,79,40
1,35058,Note_off_c,0,79,0
1,35091,Note_on_c,0,82,80
1,35186,Note_off_c,0,82,0
1,35203,Note_on_c,0,86,40
1,35298,Note_off_c,0,86,0
1,35331,Note_on_c,0,89,80
1,35426,Note_off_c,0,89,0
1,35442,Note_on_c,0,93,40
1,35543,Note_off_c,0,93,0
1,35571,Note_on_c,0,48,80
1,35665,Note_off_c,0,48,0
1,35682,Note_on_c,0,51,40
1,35782,Note_off_c,0,51,0
1,35810,Note_on_c,0,55,80
1,35905,Note_off_c,0,55,0
1,35922,Note_on_c,0,58,40
1,36022,Note_off_c,0,58,0
1,36050,Note_on_c,0,62,80
1,36145,Note_off_c,0,62,0
1,36167,Note_on_c,0,48,40
1,36262,Note_off_c,0,48,0
1,36290,Note_on_c,0,51,80
1,36384,Note_off_c,0,51,0
1,36407,Note_on_c,0,62,40
1,36501,Note_off_c,0,62,0
1,36529,Note_on_c,0,55,80
1,36624,Note_off_c,0,55,0
1,36646,Note_on_c,0,58,40
1,36741,Note_off_c,0,58,0
1,36769,Note_on_c,0,62,80
1,36869,Note_off_c,0,62,0
1,36886,Note_on_c,0,65,40
1,36980,Note_off_c,0,65,0
1,37008,Note_on_c,0,86,80
1,37109,Note_off_c,0,86,0
1,37125,Note_on_c,0,72,40
1,37220,Note_off_c,0,72,0
1,37248,Note_on_c,0,75,80
1,37348,Note_off_c,0,75,0
1,37365,Note_on_c,0,79,40
1,37460,Note_off_c,0,79,0
1,37488,Note_on_c,0,82,80
1,37588,Note_off_c,0,82,0
1,37605,Note_on_c,0,86,40
1,37699,Note_off_c,0,86,0
1,37733,Note_on_c,0,89,80
1,37828,Note_off_c,0,89,0
1,37844,Note_on_c,0,69,40
1,37939,Note_off_c,0,69,0
1,37972,Note_on_c,0,48,80
1,38067,Note_off_c,0,48,0
1,38084,Note_on_c,0,51,40
1,38179,Note_off_c,0,51,0
1,38212,Note_on_c,0,55,80
1,38307,Note_off_c,0,55,0
1,38323,Note_on_c,0,58,40
1,38418,Note_off_c,0,58,0
1,38452,Note_on_c,0,69,80
1,38546,Note_off_c,0,69,0
1,38563,Note_on_c,0,72,40
1,38658,Note_off_c,0,72,0
1,38691,Note_on_c,0,76,80
1,38786,Note_off_c,0,76,0
1,38803,Note_on_c,0,79,40
1,38897,Note_off_c,0,79,0
1,38931,Note_on_c,0,83,80
1,39026,Note_off_c,0,83,0
1,39042,Note_on_c,0,86,40
1,39143,Note_off_c,0,86,0
1,39170,Note_on_c,0,90,80
1,39265,Note_off_c,0,90,0
1,39282,Note_on_c,0,72,40
1,39382,Note_off_c,0,72,0
1,39410,Note_on_c,0,75,80
1,39505,Note_off_c,0,75,0
1,39522,Note_on_c,0,79,40
1,39622,Note_off_c,0,79,0
1,39650,Note_on_c,0,48,80
1,39744,Note_off_c,0,48,0
1,39767,Note_on_c,0,51,40
1,39862,Note_off_c,0,51,0
1,39889,Note_on_c,0,55,80
1,39984,Note_off_c,0,55,0
1,40006,Note_on_c,0,58,40
1,40101,Note_off_c,0,58,0
1,40129,Note_on_c,0,62,80
1,40224,Note_off_c,0,62,0
1,40246,Note_on_c,0,55,40
1,40341,Note_off_c,0,55,0
1,40369,Note_on_c,0,58,80
1,40469,Note_off_c,0,58,0
1,40486,Note_on_c,0,62,40
1,40581,Note_off_c,0,62,0
1,40608,Note_on_c,0,65,80
1,40709,Note_off_c,0,65,0
1,40725,Note_on_c,0,69,40
1,40820,Note_off_c,0,69,0
1,40848,Note_on_c,0,72,80
1,40948,Note_off_c,0,72,0
1,40965,Note_on_c,0,76,40
1,41060,Note_off_c,0,76,0
1,41087,Note_on_c,0,72,80
1,41188,Note_off_c,0,72,0
1,41205,Note_on_c,0,75,40
1,41299,Note_off_c,0,75,0
1,41333,Note_on_c,0,79,80
1,41427,Note_off_c,0,79,0
1,41444,Note_on_c,0,82,40
1,41539,Note_off_c,0,82,0
1,41572,Note_on_c,0,86,80
1,41667,Note_off_c,0,86,0
1,41684,Note_on_c,0,48,40
1,41778,Note_off_c,0,48,0
1,41812,Note_on_c,0,51,80
1,41907,Note_off_c,0,51,0
1,41923,Note_on_c,0,55,40
1,42018,Note_off_c,0,55,0
1,42052,Note_on_c,0,48,80
1,42146,Note_off_c,0,48,0
1,42163,Note_on_c,0,51,40
1,42258,Note_off_c,0,51,0
1,42291,Note_on_c,0,55,80
1,42386,Note_off_c,0,55,0
1,42403,Note_on_c,0,58,40
1,42497,Note_off_c,0,58,0
1,42531,Note_on_c,0,69,80
1,42626,Note_off_c,0,69,0
1,42642,Note_on_c,0,55,40
1,42743,Note_off_c,0,55,0
1,42770,Note_on_c,0,58,80
1,42865,Note_off_c,0,58,0
1,42882,Note_on_c,0,62,40
1,42982,Note_off_c,0,62,0
1,43010,Note_on_c,0,65,80
1,43105,Note_off_c,0,65,0
1,43121,Note_on_c,0,86,40
1,43222,Note_off_c,0,86,0
1,43250,Note_on_c,0,89,80
1,43344,Note_off_c,0,89,0
1,43367,Note_on_c,0,93,40
1,43461,Note_off_c,0,93,0
1,43489,Note_on_c,0,72,80
1,43584,Note_off_c,0,72,0
1,43606,Note_on_c,0,75,40
1,43701,Note_off_c,0,75,0
1,43729,Note_on_c,0,79,80
1,43824,Note_off_c,0,79,0
1,43846,Note_on_c,0,82,40
1,43941,Note_off_c,0,82,0
1,43969,Note_on_c,0,62,80
1,44063,Note_off_c,0,62,0
1,44086,Note_on_c,0,65,40
1,44180,Note_off_c,0,65,0
1,44208,Note_on_c,0,69,80
1,44308,Note_off_c,0,69,0
1,44325,Note_on_c,0,79,40
1,44420,Note_off_c,0,79,0
1,44448,Note_on_c,0,83,80
1,44548,Note_off_c,0,83,0
1,44565,Note_on_c,0,86,40
1,44660,Note_off_c,0,86,0
1,44687,Note_on_c,0,90,80
1,44788,Note_off_c,0,90,0
1,44805,Note_on_c,0,55,40
1,44899,Note_off_c,0,55,0
1,44933,Note_on_c,0,75,80
1,45027,Note_off_c,0,75,0
1,45044,Note_on_c,0,79,40
1,45139,Note_off_c,0,79,0
1,45172,Note_on_c,0,72,80
1,45267,Note_off_c,0,72,0
1,45284,Note_on_c,0,75,40
1,45379,Note_off_c,0,75,0
1,45412,Note_on_c,0,79,80
1,45507,Note_off_c,0,79,0
1,45523,Note_on_c,0,82,40
1,45618,Note_off_c,0,82,0
1,45652,Note_on_c,0,86,80
1,45746,Note_off_c,0,86,0
1,45763,Note_on_c,0,48,40
1,45858,Note_off_c,0,48,0
1,45891,Note_on_c,0,51,80
1,45986,Note_off_c,0,51,0
1,46003,Note_on_c,0,55,40
1,46097,Note_off_c,0,55,0
1,46131,Note_on_c,0,58,80
1,46226,Note_off_c,0,58,0
1,46242,Note_on_c,0,62,40
1,46342,Note_off_c,0,62,0
1,46370,Note_on_c,0,72,80
1,46465,Note_off_c,0,72,0
1,46482,Note_on_c,0,76,40
1,46582,Note_off_c,0,76,0
